dataset,model,fold_season,ratio,c_u,c_o,scope,total_cost,under_cost,over_cost,service_level,n_weeks,n_regions
Sweden-CV,SeasonalNaive,2018/19,10:1,10,1,fold,47945.12264320708,1539.0594340733246,46406.06320913376,0.9754689754689755,33,21
Sweden-CV,SeasonalNaive,2019/20,2:1,2,1,fold,8199.315180847583,2896.994784011163,5302.32039683642,0.7821067821067821,33,21
Sweden-CV,SeasonalNaive,2019/20,3:1,3,1,fold,10684.61874914885,3169.819682810874,7514.799066337977,0.8455988455988456,33,21
Sweden-CV,SeasonalNaive,2019/20,5:1,5,1,fold,13785.293491221259,3717.222210224806,10068.071280996453,0.8874458874458875,33,21
Sweden-CV,SeasonalNaive,2019/20,10:1,10,1,fold,18975.104262685913,5206.546363936402,13768.55789874951,0.9321789321789322,33,21
Sweden-CV,SeasonalNaive,2021/22,2:1,2,1,fold,25434.70358155321,25169.85971804772,264.8438635054915,0.3593073593073593,33,21
Sweden-CV,SeasonalNaive,2021/22,3:1,3,1,fold,37423.405567324575,36909.756850061334,513.6487172632402,0.4025974025974026,33,21
Sweden-CV,SeasonalNaive,2021/22,5:1,5,1,fold,60449.389922252274,59422.646106575194,1026.7438156770834,0.44155844155844154,33,21
Sweden-CV,SeasonalNaive,2021/22,10:1,10,1,fold,113429.54659590118,111694.5468027854,1734.999793115795,0.5382395382395382,33,21
Sweden-CV,SeasonalNaive,2022/23,2:1,2,1,fold,61315.88888888888,33602.11111111111,27713.777777777774,0.46176046176046176,33,21
Sweden-CV,SeasonalNaive,2022/23,3:1,3,1,fold,76774.5,41563.5,35211.0,0.5093795093795094,33,21
Sweden-CV,SeasonalNaive,2022/23,5:1,5,1,fold,130986.83333333333,49509.16666666666,81477.66666666669,0.6637806637806638,33,21
Sweden-CV,SeasonalNaive,2022/23,10:1,10,1,fold,229292.81818181791,63386.36363636365,165906.45454545424,0.7647907647907648,33,21
Sweden-CV,SeasonalNaive,2023/24,2:1,2,1,fold,33539.36641807972,1644.05388529437,31895.312532785356,0.9062049062049062,33,21
Sweden-CV,SeasonalNaive,2023/24,3:1,3,1,fold,39822.93254993932,612.4351031904553,39210.497446748865,0.9595959595959596,33,21
Sweden-CV,SeasonalNaive,2023/24,5:1,5,1,fold,49089.97693556918,345.4669175665692,48744.51001800261,0.9826839826839827,33,21
Sweden-CV,SeasonalNaive,2023/24,10:1,10,1,fold,56966.36301649008,497.0955723396572,56469.26744415043,0.98989898989899,33,21
Sweden-CV,SeasonalNaive,2024/25,2:1,2,1,fold,32607.562743909977,27831.03105553902,4776.53168837096,0.5137085137085137,33,21
Sweden-CV,SeasonalNaive,2024/25,3:1,3,1,fold,44155.869795727755,38267.85969173433,5888.010103993421,0.5512265512265512,33,21
Sweden-CV,SeasonalNaive,2024/25,5:1,5,1,fold,65311.98358140883,57844.154731071,7467.828850337831,0.5901875901875901,33,21
Sweden-CV,SeasonalNaive,2024/25,10:1,10,1,fold,107405.3341208109,96808.2612615821,10597.0728592288,0.6522366522366523,33,21
Sweden-CV,SeasonalNaive,POOLED,2:1,2,1,pooled,189049.4587656408,92292.63941056875,96756.81935507203,0.6507936507936508,198,21
Sweden-CV,SeasonalNaive,POOLED,3:1,3,1,pooled,242172.63330199316,121789.2838469655,120383.34945502767,0.6981721981721982,198,21
Sweden-CV,SeasonalNaive,POOLED,5:1,5,1,pooled,360140.08830401616,171964.3699947342,188175.71830928192,0.7551707551707552,198,21
Sweden-CV,SeasonalNaive,POOLED,10:1,10,1,pooled,574014.2888209131,279131.87307108054,294882.4157498325,0.8088023088023089,198,21
