dataset,model,horizon,fold_season,ratio,c_u,c_o,scope,total_cost,under_cost,over_cost,service_level,n_weeks,n_regions
Sweden-CV-multihorizon,SeasonalNaive,1,2021/22,3:1,3,1,fold,37423.405567324575,36909.756850061334,513.6487172632402,0.4025974025974026,33,21
Sweden-CV-multihorizon,SeasonalNaive,1,2021/22,5:1,5,1,fold,60449.389922252274,59422.646106575194,1026.7438156770834,0.44155844155844154,33,21
Sweden-CV-multihorizon,SeasonalNaive,1,2021/22,10:1,10,1,fold,113429.54659590118,111694.5468027854,1734.999793115795,0.5382395382395382,33,21
Sweden-CV-multihorizon,SeasonalNaive,1,2022/23,2:1,2,1,fold,61315.88888888888,33602.11111111111,27713.777777777774,0.46176046176046176,33,21
Sweden-CV-multihorizon,SeasonalNaive,1,2022/23,3:1,3,1,fold,76774.5,41563.5,35211.0,0.5093795093795094,33,21
Sweden-CV-multihorizon,SeasonalNaive,1,2022/23,5:1,5,1,fold,130986.83333333333,49509.16666666666,81477.66666666669,0.6637806637806638,33,21
Sweden-CV-multihorizon,SeasonalNaive,1,2022/23,10:1,10,1,fold,229292.81818181791,63386.36363636365,165906.45454545424,0.7647907647907648,33,21
Sweden-CV-multihorizon,SeasonalNaive,1,2023/24,2:1,2,1,fold,33539.36641807972,1644.05388529437,31895.312532785356,0.9062049062049062,33,21
Sweden-CV-multihorizon,SeasonalNaive,1,2023/24,3:1,3,1,fold,39822.93254993932,612.4351031904553,39210.497446748865,0.9595959595959596,33,21
Sweden-CV-multihorizon,SeasonalNaive,1,2023/24,5:1,5,1,fold,49089.97693556918,345.4669175665692,48744.51001800261,0.9826839826839827,33,21
Sweden-CV-multihorizon,SeasonalNaive,1,2023/24,10:1,10,1,fold,56966.36301649008,497.0955723396572,56469.26744415043,0.98989898989899,33,21
Sweden-CV-multihorizon,SeasonalNaive,1,2024/25,2:1,2,1,fold,32607.562743909977,27831.03105553902,4776.53168837096,0.5137085137085137,33,21
Sweden-CV-multihorizon,SeasonalNaive,1,2024/25,3:1,3,1,fold,44155.869795727755,38267.85969173433,5888.010103993421,0.5512265512265512,33,21
Sweden-CV-multihorizon,SeasonalNaive,1,2024/25,5:1,5,1,fold,65311.98358140883,57844.154731071,7467.828850337831,0.5901875901875901,33,21
Sweden-CV-multihorizon,SeasonalNaive,1,2024/25,10:1,10,1,fold,107405.3341208109,96808.2612615821,10597.0728592288,0.6522366522366523,33,21
Sweden-CV-multihorizon,SeasonalNaive,1,POOLED,2:1,2,1,pooled,189049.4587656408,92292.63941056875,96756.81935507203,0.6507936507936508,198,21
Sweden-CV-multihorizon,SeasonalNaive,1,POOLED,3:1,3,1,pooled,242172.63330199316,121789.2838469655,120383.34945502767,0.6981721981721982,198,21
Sweden-CV-multihorizon,SeasonalNaive,1,POOLED,5:1,5,1,pooled,360140.08830401616,171964.3699947342,188175.71830928192,0.7551707551707552,198,21
Sweden-CV-multihorizon,SeasonalNaive,1,POOLED,10:1,10,1,pooled,574014.2888209131,279131.87307108054,294882.4157498325,0.8088023088023089,198,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,2018/19,2:1,2,1,fold,8571.51789912284,2663.9061404177974,5907.611758705042,0.7359307359307359,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,2018/19,3:1,3,1,fold,11001.569174801782,2685.792891136392,8315.77628366539,0.8196248196248196,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,2018/19,5:1,5,1,fold,13263.119081649555,3470.2568758350762,9792.862205814477,0.8672438672438673,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,2018/19,10:1,10,1,fold,17111.50336984246,4473.15241860804,12638.350951234419,0.9018759018759018,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,2019/20,2:1,2,1,fold,5843.508779984846,1856.44334074451,3987.0654392403367,0.7806637806637806,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,2019/20,3:1,3,1,fold,7763.633927443952,1877.3312099186383,5886.302717525314,0.8571428571428571,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,2019/20,5:1,5,1,fold,10293.658065051286,1730.5039307849527,8563.154134266333,0.9191919191919192,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,2019/20,10:1,10,1,fold,13064.030186017204,1909.1669748378508,11154.863211179354,0.9494949494949495,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,2021/22,2:1,2,1,fold,17851.2948225368,12256.971591035042,5594.3232315017585,0.5411255411255411,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,2021/22,3:1,3,1,fold,23766.122977474704,17586.132709283353,6179.990268191352,0.5728715728715729,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,2021/22,5:1,5,1,fold,33564.35041617247,26133.625438972973,7430.724977199492,0.6334776334776335,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,2021/22,10:1,10,1,fold,57047.05478274097,46466.16047868229,10580.894304058678,0.7373737373737373,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,2022/23,2:1,2,1,fold,21978.344602710262,18278.572331446238,3699.772271264025,0.5411255411255411,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,2022/23,3:1,3,1,fold,26343.928614041848,19155.741774623726,7188.186839418122,0.6493506493506493,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,2022/23,5:1,5,1,fold,36128.17301587187,26143.402712417388,9984.770303454483,0.7301587301587301,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,2022/23,10:1,10,1,fold,54437.62539729811,31411.78344849879,23025.84194879932,0.8441558441558441,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,2023/24,2:1,2,1,fold,9406.37150926885,2153.316813558846,7253.054695710005,0.7994227994227994,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,2023/24,3:1,3,1,fold,11700.278953851164,2119.9283737127616,9580.350580138404,0.8571428571428571,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,2023/24,5:1,5,1,fold,17018.164099249454,1604.1891922459,15413.97490700355,0.9177489177489178,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,2023/24,10:1,10,1,fold,23782.46408683094,906.5595640605327,22875.90452277041,0.9653679653679653,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,2024/25,2:1,2,1,fold,10756.112986857623,5870.292331224262,4885.820655633361,0.6998556998556998,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,2024/25,3:1,3,1,fold,13326.619519314878,6516.13089200851,6810.488627306366,0.7705627705627706,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,2024/25,5:1,5,1,fold,16968.39752217893,7654.174307859663,9314.223214319267,0.8311688311688312,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,2024/25,10:1,10,1,fold,23063.993310366055,10027.353572031592,13036.639738334461,0.8975468975468975,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,POOLED,2:1,2,1,pooled,74407.15060048123,43079.502548426695,31327.64805205453,0.683020683020683,198,21
